ProductKey,Label,Category,Name,Manufacturer,BrandName,Class,Color,Cost,Price
34,0101034,Audio,Contoso 4GB Portable MP3 Player M450 Black,"Contoso, Ltd",Contoso,Regular,Black,48.92,95.95
35,0101035,Audio,Contoso 4GB Portable MP3 Player M450 White,"Contoso, Ltd",Contoso,Regular,White,48.92,95.95
36,0101036,Audio,Contoso 4GB Portable MP3 Player M450 Yellow,"Contoso, Ltd",Contoso,Regular,Yellow,48.92,95.95
37,0101037,Audio,Contoso 8GB Clock & Radio MP3 Player X850 Silver,"Contoso, Ltd",Contoso,Deluxe,Silver,99.14,299.23
38,0101038,Audio,Contoso 8GB Clock & Radio MP3 Player X850 Black,"Contoso, Ltd",Contoso,Deluxe,Black,99.14,299.23
39,0101039,Audio,Contoso 8GB Clock & Radio MP3 Player X850 Green,"Contoso, Ltd",Contoso,Deluxe,Green,99.14,299.23
40,0101040,Audio,Contoso 8GB Clock & Radio MP3 Player X850 Blue,"Contoso, Ltd",Contoso,Deluxe,Blue,99.14,299.23
41,0101041,Audio,Contoso 16GB New Generation MP5 Player M1650 Silver,"Contoso, Ltd",Contoso,Regular,Silver,106.69,232.00
42,0101042,Audio,Contoso 16GB New Generation MP5 Player M1650 White,"Contoso, Ltd",Contoso,Regular,White,106.69,232.00
43,0101043,Audio,Contoso 16GB New Generation MP5 Player M1650 Black,"Contoso, Ltd",Contoso,Regular,Black,106.69,232.00
44,0101044,Audio,Contoso 16GB New Generation MP5 Player M1650 blue,"Contoso, Ltd",Contoso,Regular,blue,106.69,232.00
45,0101045,Audio,Contoso 16GB New Generation MP5 Player M1650 Pink,"Contoso, Ltd",Contoso,Regular,Pink,106.69,232.00
46,0104001,Audio,WWI 1GB Pulse Smart pen E50 White,Wide World Importers,Wide World Importers,Economy,White,76.45,149.95
47,0104002,Audio,WWI 1GBPulse Smart pen E50 Black,Wide World Importers,Wide World Importers,Economy,Black,76.45,149.95
48,0104003,Audio,WWI 1GB Pulse Smart pen E50 Silver,Wide World Importers,Wide World Importers,Economy,Silver,76.45,149.95
49,0104004,Audio,WWI 2GB Pulse Smart pen M100 White,Wide World Importers,Wide World Importers,Regular,White,91.95,199.95
50,0104005,Audio,WWI 2GB Pulse Smart pen M100 Black,Wide World Importers,Wide World Importers,Regular,Black,91.95,199.95
51,0104006,Audio,WWI 2GB Pulse Smart pen M100 Blue,Wide World Importers,Wide World Importers,Regular,Blue,91.95,199.95
52,0104007,Audio,WWI 2GB Pulse Smart pen M100 Silver,Wide World Importers,Wide World Importers,Regular,Silver,91.95,199.95
53,0104008,Audio,WWI 4GB Video Recording Pen X200 Black,Wide World Importers,Wide World Importers,Deluxe,Black,98.07,296.00
54,0104009,Audio,WWI 4GB Video Recording Pen X200 Red,Wide World Importers,Wide World Importers,Deluxe,Red,98.07,296.00
55,0104010,Audio,WWI 4GB Video Recording Pen X200 Pink,Wide World Importers,Wide World Importers,Deluxe,Pink,98.07,296.00
56,0104011,Audio,WWI 4GB Video Recording Pen X200 Yellow,Wide World Importers,Wide World Importers,Deluxe,Yellow,98.07,296.00
57,0104012,Audio,WWI 1GB Digital Voice Recorder Pen E100 Black,Wide World Importers,Wide World Importers,Economy,Black,79.53,156.00
58,0104013,Audio,WWI 1GB Digital Voice Recorder Pen E100 Red,Wide World Importers,Wide World Importers,Economy,Red,79.53,156.00
59,0104014,Audio,WWI 1GB Digital Voice Recorder Pen E100 Pink,Wide World Importers,Wide World Importers,Economy,Pink,79.53,156.00
60,0104015,Audio,WWI 1GB Digital Voice Recorder Pen E100 White,Wide World Importers,Wide World Importers,Economy,White,79.53,156.00
61,0104016,Audio,WWI 2GB Spy Video Recorder Pen M300 Black,Wide World Importers,Wide World Importers,Regular,Black,83.24,181.00
62,0104017,Audio,WWI 2GB Spy Video Recorder Pen M300 White,Wide World Importers,Wide World Importers,Regular,White,83.24,181.00
63,0104018,Audio,WWI 2GB Spy Video Recorder Pen M300 Blue,Wide World Importers,Wide World Importers,Regular,Blue,83.24,181.00
64,0104019,Audio,WWI 2GB Spy Video Recorder Pen M300 Silver,Wide World Importers,Wide World Importers,Regular,Silver,83.24,181.00
65,0104020,Audio,WWI 2GB Spy Video Recorder Pen M300 Purple,Wide World Importers,Wide World Importers,Regular,Purple,83.24,181.00
66,0106001,Audio,NT Bluetooth Stereo Headphones E52 Blue,Northwind Traders,Northwind Traders,Economy,Blue,13.10,25.69
67,0106002,Audio,NT Bluetooth Stereo Headphones E52 Black,Northwind Traders,Northwind Traders,Economy,Black,13.10,25.69
68,0106003,Audio,NT Bluetooth Stereo Headphones E52 Yellow,Northwind Traders,Northwind Traders,Economy,Yellow,13.10,25.69
69,0106004,Audio,NT Bluetooth Stereo Headphones E52 Pink,Northwind Traders,Northwind Traders,Economy,Pink,13.10,25.69
70,0106005,Audio,NT Wireless Bluetooth Stereo Headphones E102 Silver,Northwind Traders,Northwind Traders,Economy,Silver,22.05,47.95
71,0106006,Audio,NT Wireless Bluetooth Stereo Headphones E102 Black,Northwind Traders,Northwind Traders,Economy,Black,22.05,47.95
72,0106007,Audio,NT Wireless Bluetooth Stereo Headphones E102 Blue,Northwind Traders,Northwind Traders,Economy,Blue,22.05,47.95
73,0106008,Audio,NT Wireless Bluetooth Stereo Headphones E102 White,Northwind Traders,Northwind Traders,Economy,White,22.05,47.95
74,0106009,Audio,NT Bluetooth Active Headphones E202 Black,Northwind Traders,Northwind Traders,Economy,Black,17.45,37.95
75,0106010,Audio,NT Bluetooth Active Headphones E202 White,Northwind Traders,Northwind Traders,Economy,White,17.45,37.95
76,0106011,Audio,NT Bluetooth Active Headphones E202 Red,Northwind Traders,Northwind Traders,Economy,Red,17.45,37.95
77,0106012,Audio,NT Bluetooth Active Headphones E202 Silver,Northwind Traders,Northwind Traders,Economy,Silver,17.45,37.95
78,0106013,Audio,NT Wireless Bluetooth Stereo Headphones E302 Silver,Northwind Traders,Northwind Traders,Economy,Silver,18.65,40.55
79,0106014,Audio,NT Wireless Bluetooth Stereo Headphones E302 White,Northwind Traders,Northwind Traders,Economy,White,18.65,40.55
80,0106015,Audio,NT Wireless Bluetooth Stereo Headphones E302 Yellow,Northwind Traders,Northwind Traders,Economy,Yellow,18.65,40.55
81,0106016,Audio,NT Wireless Bluetooth Stereo Headphones E302 Black,Northwind Traders,Northwind Traders,Economy,Black,18.65,40.55
82,0106017,Audio,NT Wireless Bluetooth Stereo Headphones E302 Pink,Northwind Traders,Northwind Traders,Economy,Pink,18.65,40.55
83,0106018,Audio,NT Wireless Bluetooth Stereo Headphones M402 Silver,Northwind Traders,Northwind Traders,Regular,Silver,45.98,99.99
84,0106019,Audio,NT Wireless Bluetooth Stereo Headphones M402 Red,Northwind Traders,Northwind Traders,Regular,Red,45.98,99.99
85,0106020,Audio,NT Wireless Bluetooth Stereo Headphones M402 Green,Northwind Traders,Northwind Traders,Regular,Green,45.98,99.99
86,0106021,Audio,NT Wireless Bluetooth Stereo Headphones M402 Black,Northwind Traders,Northwind Traders,Regular,Black,45.98,99.99
87,0106022,Audio,NT Wireless Bluetooth Stereo Headphones M402 Purple,Northwind Traders,Northwind Traders,Regular,Purple,45.98,99.99
88,0106023,Audio,NT Wireless Transmitter and Bluetooth Headphones M150 Black,Northwind Traders,Northwind Traders,Regular,Black,49.69,149.99
89,0106024,Audio,NT Wireless Transmitter and Bluetooth Headphones M150 Blue,Northwind Traders,Northwind Traders,Regular,Blue,49.69,149.99
90,0106025,Audio,NT Wireless Transmitter and Bluetooth Headphones M150 Silver,Northwind Traders,Northwind Traders,Regular,Silver,49.69,149.99
91,0106026,Audio,NT Wireless Transmitter and Bluetooth Headphones M150 Green,Northwind Traders,Northwind Traders,Regular,Green,49.69,149.99
92,0106027,Audio,NT Wireless Transmitter and Bluetooth Headphones M150 Red,Northwind Traders,Northwind Traders,Regular,Red,49.69,149.99
93,0106028,Audio,WWI Stereo Bluetooth Headphones E1000 Blue,Wide World Importers,Wide World Importers,Economy,Blue,34.36,67.40
94,0106029,Audio,WWI Stereo Bluetooth Headphones E1000 Black,Wide World Importers,Wide World Importers,Economy,Black,34.36,67.40
95,0106030,Audio,WWI Stereo Bluetooth Headphones E1000 Silver,Wide World Importers,Wide World Importers,Economy,Silver,34.36,67.40
96,0106031,Audio,WWI Stereo Bluetooth Headphones E1000 White,Wide World Importers,Wide World Importers,Economy,White,34.36,67.40
97,0106032,Audio,WWI Stereo Bluetooth Headphones E1000 Green,Wide World Importers,Wide World Importers,Economy,Green,34.36,67.40
98,0106033,Audio,WWI Wireless Bluetooth Stereo Headphones M170 Silver,Wide World Importers,Wide World Importers,Regular,Silver,55.18,120.00
99,0106034,Audio,WWI Wireless Bluetooth Stereo Headphones M170 Black,Wide World Importers,Wide World Importers,Regular,Black,55.18,120.00
100,0106035,Audio,WWI Wireless Bluetooth Stereo Headphones M170 White,Wide World Importers,Wide World Importers,Regular,White,55.18,120.00
101,0106036,Audio,WWI Wireless Bluetooth Stereo Headphones M170 Pink,Wide World Importers,Wide World Importers,Regular,Pink,55.18,120.00
102,0106037,Audio,WWI Wireless Bluetooth Stereo Headphones M270 Silver,Wide World Importers,Wide World Importers,Regular,Silver,52.88,115.00
103,0106038,Audio,WWI Wireless Bluetooth Stereo Headphones M270 Black,Wide World Importers,Wide World Importers,Regular,Black,52.88,115.00
104,0106039,Audio,WWI Wireless Bluetooth Stereo Headphones M270 White,Wide World Importers,Wide World Importers,Regular,White,52.88,115.00
105,0106040,Audio,WWI Wireless Bluetooth Stereo Headphones M270 Pink,Wide World Importers,Wide World Importers,Regular,Pink,52.88,115.00
106,0106041,Audio,WWI Stereo Bluetooth Headphones New Generation M370 Black,Wide World Importers,Wide World Importers,Regular,Black,61.16,132.99
107,0106042,Audio,WWI Stereo Bluetooth Headphones New Generation M370 White,Wide World Importers,Wide World Importers,Regular,White,61.16,132.99
108,0106043,Audio,WWI Stereo Bluetooth Headphones New Generation M370 Yellow,Wide World Importers,Wide World Importers,Regular,Yellow,61.16,132.99
109,0106044,Audio,WWI Stereo Bluetooth Headphones New Generation M370 Orange,Wide World Importers,Wide World Importers,Regular,Orange,61.16,132.99
110,0106045,Audio,WWI Stereo Bluetooth Headphones New Generation M370 Blue,Wide World Importers,Wide World Importers,Regular,Blue,61.16,132.99
111,0106046,Audio,WWI Wireless Transmitter and Bluetooth Headphones X250 Black,Wide World Importers,Wide World Importers,Deluxe,Black,82.83,249.99
112,0106047,Audio,WWI Wireless Transmitter and Bluetooth Headphones X250 Blue,Wide World Importers,Wide World Importers,Deluxe,Blue,82.83,249.99
113,0106048,Audio,WWI Wireless Transmitter and Bluetooth Headphones X250 White,Wide World Importers,Wide World Importers,Deluxe,White,82.83,249.99
114,0106049,Audio,WWI Wireless Transmitter and Bluetooth Headphones X250 Red,Wide World Importers,Wide World Importers,Deluxe,Red,82.83,249.99
115,0106050,Audio,WWI Wireless Transmitter and Bluetooth Headphones X250 Silver,Wide World Importers,Wide World Importers,Deluxe,Silver,82.83,249.99
944,0401001,"Cameras and camcorders ",A. Datum Compact Digital Camera M200 Black,A. Datum Corporation,A. Datum,Economy,Black,59.32,129.00
945,0401002,"Cameras and camcorders ",A. Datum Rangefinder Digital Camera X200 Black,A. Datum Corporation,A. Datum,Regular,Black,66.26,200.00
946,0401003,"Cameras and camcorders ",A. Datum Slim Digital Camera M180 Black,A. Datum Corporation,A. Datum,Economy,Black,68.06,148.00
947,0401004,"Cameras and camcorders ",A. Datum Ultra Compact Digital Camera M190 Black,A. Datum Corporation,A. Datum,Economy,Black,75.88,165.00
948,0401005,"Cameras and camcorders ",A. Datum All in One Digital Camera M200 Black,A. Datum Corporation,A. Datum,Regular,Black,86.45,188.00
949,0401006,"Cameras and camcorders ",A. Datum Interchangeable lens Non-SLR Digital Camera X250 Black,A. Datum Corporation,A. Datum,Regular,Black,88.79,268.00
950,0401007,"Cameras and camcorders ",A. Datum Super-zoom Digital Camera X300 Black,A. Datum Corporation,A. Datum,Deluxe,Black,96.08,290.00
951,0401008,"Cameras and camcorders ",A. Datum Consumer Digital Camera E100 Black,A. Datum Corporation,A. Datum,Deluxe,Black,143.26,281.00
952,0401009,"Cameras and camcorders ",A. Datum Consumer Digital Camera M300 Black,A. Datum Corporation,A. Datum,Regular,Black,84.84,184.50
953,0401010,"Cameras and camcorders ",A. Datum Advanced Digital Camera M300 Black,A. Datum Corporation,A. Datum,Regular,Black,86.68,188.50
954,0401011,"Cameras and camcorders ",A. Datum Bridge Digital Camera M300 Black,A. Datum Corporation,A. Datum,Regular,Black,85.95,186.90
955,0401012,"Cameras and camcorders ",A. Datum SLR-like Digital Camera M400 Black,A. Datum Corporation,A. Datum,Regular,Black,90.55,196.90
956,0401013,"Cameras and camcorders ",A. Datum Point Shoot Digital Camera M500 Black,A. Datum Corporation,A. Datum,Regular,Black,91.05,198.00
957,0401014,"Cameras and camcorders ",A. Datum Full Frame Digital Camera X300 Black,A. Datum Corporation,A. Datum,Regular,Black,76.53,231.00
958,0401015,"Cameras and camcorders ",A. Datum Compact Digital Camera M200 Grey,A. Datum Corporation,A. Datum,Economy,Grey,59.32,129.00
959,0401016,"Cameras and camcorders ",A. Datum Rangefinder Digital Camera X200 Grey,A. Datum Corporation,A. Datum,Regular,Grey,66.26,200.00
960,0401017,"Cameras and camcorders ",A. Datum Slim Digital Camera M180 Grey,A. Datum Corporation,A. Datum,Economy,Grey,68.06,148.00
961,0401018,"Cameras and camcorders ",A. Datum Ultra Compact Digital Camera M190 Grey,A. Datum Corporation,A. Datum,Economy,Grey,75.88,165.00
962,0401019,"Cameras and camcorders ",A. Datum All in One Digital Camera M200 Grey,A. Datum Corporation,A. Datum,Regular,Grey,86.45,188.00
963,0401020,"Cameras and camcorders ",A. Datum Interchangeable lens Non-SLR Digital Camera X250 Grey,A. Datum Corporation,A. Datum,Regular,Grey,88.79,268.00
964,0401021,"Cameras and camcorders ",A. Datum Super-zoom Digital Camera X300 Grey,A. Datum Corporation,A. Datum,Deluxe,Grey,96.08,290.00
965,0401022,"Cameras and camcorders ",A. Datum Consumer Digital Camera E100 Grey,A. Datum Corporation,A. Datum,Deluxe,Grey,143.26,281.00
966,0401023,"Cameras and camcorders ",A. Datum Consumer Digital Camera M300 Grey,A. Datum Corporation,A. Datum,Regular,Grey,84.84,184.50
967,0401024,"Cameras and camcorders ",A. Datum Advanced Digital Camera M300 Grey,A. Datum Corporation,A. Datum,Regular,Grey,86.68,188.50
968,0401025,"Cameras and camcorders ",A. Datum Bridge Digital Camera M300 Grey,A. Datum Corporation,A. Datum,Regular,Grey,85.95,186.90
969,0401026,"Cameras and camcorders ",A. Datum SLR-like Digital Camera M400 Grey,A. Datum Corporation,A. Datum,Regular,Grey,90.55,196.90
970,0401027,"Cameras and camcorders ",A. Datum Point n' Shoot Digital Camera M500 Grey,A. Datum Corporation,A. Datum,Regular,Grey,91.05,198.00
971,0401028,"Cameras and camcorders ",A. Datum Full Frame Digital Camera X300 Grey,A. Datum Corporation,A. Datum,Regular,Grey,76.53,231.00
972,0401029,"Cameras and camcorders ",A. Datum Compact Digital Camera M200 Pink,A. Datum Corporation,A. Datum,Economy,Pink,59.32,129.00
973,0401030,"Cameras and camcorders ",A. Datum Rangefinder Digital Camera X200 Pink,A. Datum Corporation,A. Datum,Regular,Pink,66.26,200.00
974,0401031,"Cameras and camcorders ",A. Datum Slim Digital Camera M180 Pink,A. Datum Corporation,A. Datum,Economy,Pink,68.06,148.00
975,0401032,"Cameras and camcorders ",A. Datum Ultra Compact Digital Camera M190 Pink,A. Datum Corporation,A. Datum,Economy,Pink,75.88,165.00
976,0401033,"Cameras and camcorders ",A. Datum All in One Digital Camera M200 Pink,A. Datum Corporation,A. Datum,Regular,Pink,86.45,188.00
977,0401034,"Cameras and camcorders ",A. Datum Interchangeable lens Non-SLR Digital Camera X250 Pink,A. Datum Corporation,A. Datum,Regular,Pink,88.79,268.00
978,0401035,"Cameras and camcorders ",A. Datum Super-zoom Digital Camera X300 Pink,A. Datum Corporation,A. Datum,Deluxe,Pink,96.08,290.00
979,0401036,"Cameras and camcorders ",A. Datum Consumer Digital Camera E100 Pink,A. Datum Corporation,A. Datum,Deluxe,Pink,143.26,281.00
980,0401037,"Cameras and camcorders ",A. Datum Consumer Digital Camera M300 Pink,A. Datum Corporation,A. Datum,Regular,Pink,84.84,184.50
981,0401038,"Cameras and camcorders ",A. Datum Advanced Digital Camera M300 Pink,A. Datum Corporation,A. Datum,Regular,Pink,86.68,188.50
982,0401039,"Cameras and camcorders ",A. Datum Bridge Digital Camera M300 Pink,A. Datum Corporation,A. Datum,Regular,Pink,85.95,186.90
983,0401040,"Cameras and camcorders ",A. Datum SLR-like Digital Camera M400 Pink,A. Datum Corporation,A. Datum,Regular,Pink,90.55,196.90
984,0401041,"Cameras and camcorders ",A. Datum Point Shoot Digital Camera M500 Pink,A. Datum Corporation,A. Datum,Regular,Pink,91.05,198.00
985,0401042,"Cameras and camcorders ",A. Datum Full Frame Digital Camera X300 Pink,A. Datum Corporation,A. Datum,Regular,Pink,76.53,231.00
986,0401043,"Cameras and camcorders ",A. Datum Compact Digital Camera M200 Silver,A. Datum Corporation,A. Datum,Economy,Silver,59.32,129.00
987,0401044,"Cameras and camcorders ",A. Datum Rangefinder Digital Camera X200 Silver,A. Datum Corporation,A. Datum,Regular,Silver,66.26,200.00
988,0401045,"Cameras and camcorders ",A. Datum Slim Digital Camera M180 Silver,A. Datum Corporation,A. Datum,Economy,Silver,68.06,148.00
989,0401046,"Cameras and camcorders ",A. Datum Ultra Compact Digital Camera M190 Silver,A. Datum Corporation,A. Datum,Economy,Silver,75.88,165.00
990,0401047,"Cameras and camcorders ",A. Datum All in One Digital Camera M200 Silver,A. Datum Corporation,A. Datum,Regular,Silver,86.45,188.00
991,0401048,"Cameras and camcorders ",A. Datum Interchangeable lens Non-SLR Digital Camera X250 Silver,A. Datum Corporation,A. Datum,Regular,Silver,88.79,268.00
992,0401049,"Cameras and camcorders ",A. Datum Super-zoom Digital Camera X300 Silver,A. Datum Corporation,A. Datum,Deluxe,Silver,96.08,290.00
993,0401050,"Cameras and camcorders ",A. Datum Consumer Digital Camera E100 Silver,A. Datum Corporation,A. Datum,Deluxe,Silver,143.26,281.00
994,0401051,"Cameras and camcorders ",A. Datum Consumer Digital Camera M300 Silver,A. Datum Corporation,A. Datum,Regular,Silver,84.84,184.50
995,0401052,"Cameras and camcorders ",A. Datum Advanced Digital Camera M300 Silver,A. Datum Corporation,A. Datum,Regular,Silver,86.68,188.50
996,0401053,"Cameras and camcorders ",A. Datum Bridge Digital Camera M300 Silver,A. Datum Corporation,A. Datum,Regular,Silver,85.95,186.90
997,0401054,"Cameras and camcorders ",A. Datum SLR-like Digital Camera M400 Silver,A. Datum Corporation,A. Datum,Regular,Silver,90.55,196.90
998,0401055,"Cameras and camcorders ",A. Datum Point Shoot Digital Camera M500 Silver,A. Datum Corporation,A. Datum,Regular,Silver,91.05,198.00
999,0401056,"Cameras and camcorders ",A. Datum Full Frame Digital Camera X300 Silver,A. Datum Corporation,A. Datum,Regular,Silver,76.53,231.00
1000,0401057,"Cameras and camcorders ",A. Datum Compact Digital Camera M200 Orange,A. Datum Corporation,A. Datum,Economy,Orange,59.32,129.00
1001,0401058,"Cameras and camcorders ",A. Datum Rangefinder Digital Camera X200 Orange,A. Datum Corporation,A. Datum,Regular,Orange,66.26,200.00
1002,0401059,"Cameras and camcorders ",A. Datum Slim Digital Camera M180 Orange,A. Datum Corporation,A. Datum,Economy,Orange,68.06,148.00
1003,0401060,"Cameras and camcorders ",A. Datum Ultra Compact Digital Camera M190 Orange,A. Datum Corporation,A. Datum,Economy,Orange,75.88,165.00
1004,0401061,"Cameras and camcorders ",A. Datum All in One Digital Camera M200 Orange,A. Datum Corporation,A. Datum,Regular,Orange,86.45,188.00
1005,0401062,"Cameras and camcorders ",A. Datum Interchangeable lens Non-SLR Digital Camera X250 Orange,A. Datum Corporation,A. Datum,Regular,Orange,88.79,268.00
1006,0401063,"Cameras and camcorders ",A. Datum Super-zoom Digital Camera X300 Orange,A. Datum Corporation,A. Datum,Deluxe,Orange,96.08,290.00
1007,0401064,"Cameras and camcorders ",A. Datum Consumer Digital Camera E100 Orange,A. Datum Corporation,A. Datum,Deluxe,Orange,143.26,281.00
1008,0401065,"Cameras and camcorders ",A. Datum Consumer Digital Camera M300 Orange,A. Datum Corporation,A. Datum,Regular,Orange,84.84,184.50
1009,0401066,"Cameras and camcorders ",A. Datum Advanced Digital Camera M300 Orange,A. Datum Corporation,A. Datum,Regular,Orange,86.68,188.50
1010,0401067,"Cameras and camcorders ",A. Datum Bridge Digital Camera M300 Orange,A. Datum Corporation,A. Datum,Regular,Orange,85.95,186.90
1011,0401068,"Cameras and camcorders ",A. Datum SLR-like Digital Camera M400 Orange,A. Datum Corporation,A. Datum,Regular,Orange,90.55,196.90
1012,0401069,"Cameras and camcorders ",A. Datum Point Shoot Digital Camera M500 Orange,A. Datum Corporation,A. Datum,Regular,Orange,91.05,198.00
1013,0401070,"Cameras and camcorders ",A. Datum Full Frame Digital Camera X300 Orange,A. Datum Corporation,A. Datum,Regular,Orange,76.53,231.00
1014,0401071,"Cameras and camcorders ",A. Datum Compact Digital Camera M200 Green,A. Datum Corporation,A. Datum,Economy,Green,59.32,129.00
1015,0401072,"Cameras and camcorders ",A. Datum Rangefinder Digital Camera X200 Green,A. Datum Corporation,A. Datum,Regular,Green,66.26,200.00
1016,0401073,"Cameras and camcorders ",A. Datum Slim Digital Camera M180 Green,A. Datum Corporation,A. Datum,Economy,Green,68.06,148.00
1017,0401074,"Cameras and camcorders ",A. Datum Ultra Compact Digital Camera M190 Green,A. Datum Corporation,A. Datum,Economy,Green,75.88,165.00
1018,0401075,"Cameras and camcorders ",A. Datum All in One Digital Camera M200 Green,A. Datum Corporation,A. Datum,Regular,Green,86.45,188.00
1019,0401076,"Cameras and camcorders ",A. Datum Interchangeable lens Non-SLR Digital Camera X250 Green,A. Datum Corporation,A. Datum,Regular,Green,88.79,268.00
1020,0401077,"Cameras and camcorders ",A. Datum Super-zoom Digital Camera X300 Green,A. Datum Corporation,A. Datum,Deluxe,Green,96.08,290.00
1021,0401078,"Cameras and camcorders ",A. Datum Consumer Digital Camera E100 Green,A. Datum Corporation,A. Datum,Deluxe,Green,143.26,281.00
1022,0401079,"Cameras and camcorders ",A. Datum Consumer Digital Camera M300 Green,A. Datum Corporation,A. Datum,Regular,Green,84.84,184.50
1023,0401080,"Cameras and camcorders ",A. Datum Advanced Digital Camera M300 Green,A. Datum Corporation,A. Datum,Regular,Green,86.68,188.50
1024,0401081,"Cameras and camcorders ",A. Datum Bridge Digital Camera M300 Green,A. Datum Corporation,A. Datum,Regular,Green,85.95,186.90
1025,0401082,"Cameras and camcorders ",A. Datum SLR-like Digital Camera M400 Green,A. Datum Corporation,A. Datum,Regular,Green,90.55,196.90
1026,0401083,"Cameras and camcorders ",A. Datum Point Shoot Digital Camera M500 Green,A. Datum Corporation,A. Datum,Regular,Green,91.05,198.00
1027,0401084,"Cameras and camcorders ",A. Datum Full Frame Digital Camera X300 Green,A. Datum Corporation,A. Datum,Regular,Green,76.53,231.00
1028,0401085,"Cameras and camcorders ",A. Datum Compact Digital Camera M200 Azure,A. Datum Corporation,A. Datum,Economy,Azure,59.32,129.00
1029,0401086,"Cameras and camcorders ",A. Datum Rangefinder Digital Camera X200 Azure,A. Datum Corporation,A. Datum,Regular,Azure,66.26,200.00
